label,seed,risk_mean,risk_relief,probe_rate,response_prob,response_delay_s,post_trigger_probe,workload,episode_length,retrieval_rate,probe_time_share,veh_time_share,total_steps,n_veh_onsets,n_lm_onsets,reached_goal,wall_s
memth|up,20260705,0.12178,0.15660,8.07206,0.16000,0.54490,0.28000,3.11636,11.49701,2.13904,0.04161,0.03369,4274,25,25,True,157.3
memth|up,20260706,0.11595,0.07146,8.28235,0.36364,0.00000,0.05882,2.97085,11.31176,1.78749,0.04254,0.01435,4250,11,17,True,156.1
memth|up,20260707,0.11779,0.10698,8.70572,0.42857,0.72653,0.10526,3.04829,11.10000,1.92102,0.04522,0.00972,4319,7,19,True,159.5
memth|up,20260708,0.12115,0.08153,9.66543,0.42857,0.36327,0.09524,3.08449,11.05114,2.41449,0.05006,0.01952,4304,14,21,True,159.4
memth|up,20260709,0.11600,0.12225,8.60367,0.35714,1.08198,0.10000,2.99358,10.39560,2.35174,0.04367,0.01975,4254,14,20,True,157.1
memth|down,20260705,0.24047,0.05783,29.49640,0.86667,0.47065,0.87500,6.24692,9.01762,0.81900,0.11120,0.01568,5421,15,32,True,152.6
memth|down,20260706,0.24303,0.04752,29.46657,0.60000,0.21327,0.96429,6.23443,9.69163,0.97403,0.11399,0.01096,5474,10,28,True,155.0
memth|down,20260707,0.23688,0.05958,29.48323,0.80000,0.97730,0.82609,6.13391,8.80000,1.04670,0.11274,0.00961,5515,10,23,True,155.1
memth|down,20260708,0.23554,0.08060,29.75222,0.77778,0.10991,0.85714,6.09732,9.66964,0.88283,0.11617,0.00977,5529,9,28,True,155.1
memth|down,20260709,0.23812,0.06710,29.61475,0.70000,0.64986,0.80000,6.12462,9.93665,1.47745,0.11510,0.01041,5477,10,25,True,154.4
ACTR_LOAD_RESUME_THRESHOLD|wide0,20260705,0.11986,0.10708,7.58950,0.23077,0.06327,0.22222,3.06631,11.05780,2.13592,0.03764,0.01862,4190,13,18,True,162.3
ACTR_LOAD_RESUME_THRESHOLD|wide0,20260706,0.11786,0.11342,9.56624,0.38462,0.51000,0.05000,3.03239,10.58101,1.21581,0.04974,0.01829,4265,13,20,True,162.6
ACTR_LOAD_RESUME_THRESHOLD|wide0,20260707,0.11431,0.07930,7.56524,0.40000,1.02985,0.17391,3.00026,10.69006,1.64779,0.03840,0.01436,4177,10,23,True,160.9
ACTR_LOAD_RESUME_THRESHOLD|wide0,20260708,0.11805,0.10458,7.85143,0.22222,0.00000,0.08696,3.00614,11.43195,1.87008,0.04017,0.01222,4254,9,23,True,163.6
ACTR_LOAD_RESUME_THRESHOLD|wide0,20260709,0.10951,0.08297,9.12154,0.50000,0.30606,0.00000,2.88150,10.27647,1.24434,0.04758,0.01444,4155,10,22,True,161.1
ACTR_LOAD_RESUME_THRESHOLD|wide1,20260705,0.11986,0.10708,7.58950,0.23077,0.06327,0.22222,3.06631,11.05780,2.13592,0.03764,0.01862,4190,13,18,True,161.8
ACTR_LOAD_RESUME_THRESHOLD|wide1,20260706,0.11786,0.11342,9.56624,0.38462,0.51000,0.05000,3.03239,10.58101,1.21581,0.04974,0.01829,4265,13,20,True,164.6
ACTR_LOAD_RESUME_THRESHOLD|wide1,20260707,0.11431,0.07930,7.56524,0.40000,1.02985,0.17391,3.00026,10.69006,1.64779,0.03840,0.01436,4177,10,23,True,161.3
ACTR_LOAD_RESUME_THRESHOLD|wide1,20260708,0.11805,0.10458,7.85143,0.22222,0.00000,0.08696,3.00614,11.43195,1.87008,0.04017,0.01222,4254,9,23,True,162.2
ACTR_LOAD_RESUME_THRESHOLD|wide1,20260709,0.10951,0.08297,9.12154,0.50000,0.30606,0.00000,2.88150,10.27647,1.24434,0.04758,0.01444,4155,10,22,True,160.0
