label,seed,risk_mean,risk_relief,probe_rate,response_prob,response_delay_s,post_trigger_probe,workload,episode_length,retrieval_rate,probe_time_share,veh_time_share,total_steps,n_veh_onsets,n_lm_onsets,reached_goal,wall_s
SEEV_EXPECTANCY_RISK_WEIGHT|up,20260708,0.11824,0.10432,7.85143,0.22222,0.00000,0.08696,3.00630,11.43195,1.87008,0.04017,0.01222,4254,9,23,True,167.2
SEEV_EXPECTANCY_RISK_WEIGHT|up,20260709,0.10973,0.08278,9.12154,0.50000,0.30606,0.00000,2.88098,10.27647,1.24434,0.04758,0.01444,4155,10,22,True,165.3
SEEV_EXPECTANCY_RISK_WEIGHT|down,20260705,0.11942,0.10739,7.58950,0.23077,0.06327,0.22222,3.06915,11.05780,2.13592,0.03764,0.01862,4190,13,18,True,705.3
SEEV_EXPECTANCY_RISK_WEIGHT|down,20260706,0.11762,0.11342,9.56624,0.38462,0.51000,0.05000,3.03412,10.58101,1.21581,0.04974,0.01829,4265,13,20,True,706.8
SEEV_EXPECTANCY_RISK_WEIGHT|down,20260707,0.11405,0.07957,7.54130,0.30000,0.65987,0.17391,3.00284,10.69006,1.64779,0.03831,0.01436,4177,10,23,True,705.4
SEEV_EXPECTANCY_RISK_WEIGHT|down,20260708,0.11763,0.10458,7.85143,0.22222,0.00000,0.08696,3.00874,11.43195,1.87008,0.04017,0.01222,4254,9,23,True,707.2
SEEV_EXPECTANCY_RISK_WEIGHT|down,20260709,0.10928,0.08297,9.12154,0.50000,0.30606,0.00000,2.88243,10.27647,1.24434,0.04758,0.01444,4155,10,22,True,707.8
ACTR_RISK_CANE_GUIDANCE_RELIEF|up,20260705,0.11979,0.10708,7.58950,0.23077,0.06327,0.22222,3.06631,11.05780,2.13592,0.03764,0.01862,4190,13,18,True,708.5
ACTR_RISK_CANE_GUIDANCE_RELIEF|up,20260706,0.11781,0.11342,9.56624,0.38462,0.51000,0.05000,3.03220,10.58101,1.21581,0.04974,0.01829,4265,13,20,True,711.2
ACTR_RISK_CANE_GUIDANCE_RELIEF|up,20260707,0.11426,0.07930,7.56524,0.40000,1.02985,0.17391,3.00026,10.69006,1.64779,0.03840,0.01436,4177,10,23,True,708.5
ACTR_RISK_CANE_GUIDANCE_RELIEF|up,20260708,0.11800,0.10458,7.85143,0.22222,0.00000,0.08696,3.00614,11.43195,1.87008,0.04017,0.01222,4254,9,23,True,710.9
ACTR_RISK_CANE_GUIDANCE_RELIEF|up,20260709,0.10946,0.08297,9.12154,0.50000,0.30606,0.00000,2.88150,10.27647,1.24434,0.04758,0.01444,4155,10,22,True,708.7
ACTR_RISK_CANE_GUIDANCE_RELIEF|down,20260705,0.11994,0.10708,7.58950,0.23077,0.06327,0.22222,3.06631,11.05780,2.13592,0.03764,0.01862,4190,13,18,True,2997.6
ACTR_RISK_CANE_GUIDANCE_RELIEF|down,20260706,0.11792,0.11342,9.56624,0.38462,0.51000,0.05000,3.03239,10.58101,1.21581,0.04974,0.01829,4265,13,20,True,2999.8
ACTR_RISK_CANE_GUIDANCE_RELIEF|down,20260707,0.11437,0.07930,7.56524,0.40000,1.02985,0.17391,3.00026,10.69006,1.64779,0.03840,0.01436,4177,10,23,True,2997.4
ACTR_RISK_CANE_GUIDANCE_RELIEF|down,20260708,0.11810,0.10458,7.85143,0.22222,0.00000,0.08696,3.00614,11.43195,1.87008,0.04017,0.01222,4254,9,23,True,2999.6
