category,parameter,row_sum(类内指标),share_in_category,rank_in_category,selected(top2),note
a.风险感知与风险融合,SEEV_VALUE_SAFETY_WEIGHT,0.0261,1.0000,1,YES,
b.探测与恢复,PROBE_RELIEF_RATIO,3.7782,1.0000,1,YES,
