parameter,veh_share,veh_iw_mean,veh_stop_rate,veh_reaction_prob,veh_reaction_delay_s,lm_share,lm_iw_mean,lm_stop_rate,lm_relief_effect,lm_stop_after_rate,tac_share,tac_iw_mean,tac_stop_rate,tac_risk_mean,noref_share,noref_iw_mean,noref_stop_rate,noref_ep_len,noref_retrieval_per100,cross_share,cross_iw_mean,cross_stop_rate,cross_wait_s
PROBE_RELIEF_RATIO,0.1777,0.8635,0.7307,1.2476,0.3026,0.2855,0.1452,1.2469,0.9994,1.2469,0.0673,0.0003,1.0103,0.1263,0.0523,0.1526,2.8688,0.0460,0.4974,0.1177,0.0914,0.1781,0.3487
MEMORY_ACTIVE_ABSENT_STEPS_TH,0.4917,2.5646,2.1020,3.2559,3.7216,0.0191,0.2253,4.2625,1.2225,4.2625,0.2201,0.0141,3.5618,0.5649,0.2392,0.5648,0.8988,0.3324,5.8064,0.1741,0.7187,0.3645,0.2272
LANDMARK_DECAY_RATE,0.4306,0.6128,1.4348,0.5724,1.0036,0.0816,0.0744,1.7932,0.2414,1.7932,0.0177,0.0342,0.6137,0.1393,0.1009,0.5102,0.1333,0.0192,0.5435,0.1066,0.1236,0.2108,0.4446
VEHICLE_APPROACH_SALIENCE_GATE_SIDEWALK,0.1467,0.2476,0.2189,0.1384,0.0851,0.0366,0.0599,0.8750,0.2265,0.8750,0.0148,0.0035,0.3068,0.0465,0.0553,0.0517,0.2141,0.0307,0.3101,0.0510,0.0809,0.0569,0.3300
LOOMING_BOOST_PEAK,0.0359,0.4093,0.6250,0.6897,0.9220,0.1366,0.0382,0.2151,0.4045,0.2151,0.0423,0.0050,0.0708,0.0231,0.0175,0.0674,0.0840,0.0889,0.2310,0.0645,0.0314,0.1045,0.1469
LOOMING_BOOST_DECAY,0.2331,0.4757,0.2812,0.3684,1.3759,0.2079,0.0619,0.8371,0.3121,0.8371,0.0339,0.0043,0.5266,0.0685,0.0652,0.0438,0.1493,0.0571,0.5833,0.0790,0.1356,0.0568,0.1010
ACTR_RISK_CANE_GUIDANCE_RELIEF,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001,0.0000,0.0116,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
ACTR_RISK_LANDMARK_RELIEF,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0087,0.0000,0.1191,0.0000,0.0000,0.0000,0.0000,0.0006,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0003,0.0000,0.0000
MEMORY_ACTIVE_RETRIEVAL_TH,1.0462,0.9652,1.1301,2.8864,0.2721,0.1037,6.2285,20.2611,1.0495,14.4027,0.1231,7.1077,62.6722,14.1054,0.0048,0.2151,3.8377,0.3721,1.2752,0.6503,0.0431,0.8049,0.2359
