label,seed,stop_probe_per_100steps,veh_reaction_prob,veh_reaction_delay_s,iw_mean,iw_p95,iw_high_ratio,crossing_wait_s,ref_loss_episodes_per_100steps,deprivation_mean,obstacle_hits_per_100steps,total_sim_time_s,total_steps,diag_value_mean,diag_net_priority_mean,diag_gate_rate,diag_risk_mean,reached_goal,n_veh_onsets,wall_s
LOOMING_BOOST_PEAK|up,20260706,8.8305,0.2857,0.5250,3.1853,10.3291,0.1534,197.0496,4.0956,0.2766,0.0947,3469.4627,4224.0000,0.337708,0.062384,0.002131,0.105396,True,7,163.1
LOOMING_BOOST_PEAK|up,20260707,8.9877,0.2308,0.0633,3.2454,10.6059,0.1633,234.4224,4.0074,0.2898,0.1390,3515.1127,4317.0000,0.334259,0.060244,0.001853,0.109770,True,13,163.2
LOOMING_BOOST_PEAK|up,20260708,8.1469,0.2727,0.0000,3.1699,10.6059,0.1559,219.8950,4.0499,0.2783,0.2355,3476.6127,4247.0000,0.339839,0.062786,0.001648,0.105904,True,11,163.6
LOOMING_BOOST_PEAK|up,20260709,8.1531,0.5000,0.6067,3.0579,10.3291,0.1391,201.7934,4.1835,0.2682,0.2139,3454.9627,4207.0000,0.345032,0.065150,0.001188,0.099409,True,6,162.8
LOOMING_BOOST_PEAK|down,20260705,7.5012,0.2667,0.0949,3.1911,10.6059,0.1580,192.5268,4.2209,0.2840,0.2171,3431.9627,4146.0000,0.336800,0.061146,0.002894,0.107970,True,15,159.2
LOOMING_BOOST_PEAK|down,20260706,8.8506,0.4167,0.4200,3.1727,10.3291,0.1536,204.4031,4.1539,0.2809,0.0708,3477.6627,4237.0000,0.336952,0.062941,0.002832,0.106305,True,12,160.6
LOOMING_BOOST_PEAK|down,20260707,8.9877,0.2143,0.0633,3.2450,10.6059,0.1633,234.4224,4.0074,0.2897,0.1390,3515.1127,4317.0000,0.334033,0.059981,0.001621,0.109764,True,14,163.3
LOOMING_BOOST_PEAK|down,20260708,8.1469,0.2727,0.0000,3.1698,10.6059,0.1559,219.8950,4.0499,0.2781,0.2355,3476.6127,4247.0000,0.339666,0.062548,0.001413,0.105905,True,11,160.2
LOOMING_BOOST_PEAK|down,20260709,9.1456,0.4444,0.3101,3.0576,10.3292,0.1415,162.0638,4.0915,0.2609,0.1685,3429.2627,4155.0000,0.343011,0.062849,0.000722,0.098701,True,9,159.7
LOOMING_BOOST_DECAY|up,20260705,7.5012,0.2667,0.0949,3.1911,10.6059,0.1580,192.5268,4.2209,0.2840,0.2171,3431.9627,4146.0000,0.336859,0.062030,0.002894,0.107970,True,15,160.5
LOOMING_BOOST_DECAY|up,20260706,8.8305,0.2857,0.5250,3.1852,10.3291,0.1534,197.0496,4.0956,0.2765,0.0947,3469.4627,4224.0000,0.337592,0.062587,0.002131,0.105396,True,7,161.0
LOOMING_BOOST_DECAY|up,20260707,8.9877,0.2308,0.0633,3.2454,10.6059,0.1633,234.4224,4.0074,0.2897,0.1390,3515.1127,4317.0000,0.334089,0.060601,0.001621,0.109770,True,13,160.4
LOOMING_BOOST_DECAY|up,20260708,8.1469,0.2727,0.0000,3.1699,10.6059,0.1559,219.8950,4.0499,0.2782,0.2355,3476.6127,4247.0000,0.339781,0.063287,0.001648,0.105905,True,11,160.1
LOOMING_BOOST_DECAY|up,20260709,9.1456,0.5000,0.3061,3.0577,10.3292,0.1415,162.0638,4.0915,0.2610,0.1685,3429.2627,4155.0000,0.343128,0.063534,0.000722,0.098701,True,10,158.4
LOOMING_BOOST_DECAY|down,20260705,7.5012,0.2667,0.0949,3.1911,10.6059,0.1580,192.5268,4.2209,0.2840,0.2171,3431.9627,4146.0000,0.336859,0.061196,0.002894,0.107970,True,15,126.4
LOOMING_BOOST_DECAY|down,20260706,8.8305,0.2857,0.5250,3.1852,10.3291,0.1534,197.0496,4.0956,0.2765,0.0947,3469.4627,4224.0000,0.337592,0.062187,0.002131,0.105396,True,7,122.2
LOOMING_BOOST_DECAY|down,20260707,8.9877,0.2308,0.0633,3.2454,10.6059,0.1633,234.4224,4.0074,0.2897,0.1390,3515.1127,4317.0000,0.334089,0.059976,0.001621,0.109770,True,13,122.5
LOOMING_BOOST_DECAY|down,20260708,8.1469,0.2727,0.0000,3.1699,10.6059,0.1559,219.8950,4.0499,0.2782,0.2355,3476.6127,4247.0000,0.339781,0.062620,0.001648,0.105905,True,11,119.7
LOOMING_BOOST_DECAY|down,20260709,9.1456,0.5000,0.3061,3.0577,10.3292,0.1415,162.0638,4.0915,0.2610,0.1685,3429.2627,4155.0000,0.343128,0.062876,0.000722,0.098701,True,10,118.6
