label,seed,veh_share,veh_iw_mean,veh_stop_rate,veh_reaction_prob,veh_reaction_delay_s,lm_share,lm_iw_mean,lm_stop_rate,lm_relief_effect,lm_stop_after_rate,tac_share,tac_iw_mean,tac_stop_rate,tac_risk_mean,noref_share,noref_iw_mean,noref_stop_rate,noref_ep_len,noref_retrieval_per100,cross_share,cross_iw_mean,cross_stop_rate,cross_wait_s
PROBE_RELIEF_RATIO|0.32,20260709,0.01426,4.73557,19.35484,0.18182,0.00000,0.01932,2.12665,3.57143,0.09451,0.14286,0.54635,1.95257,1.55789,0.03484,0.23464,2.45255,16.07843,10.41530,1.17647,0.20842,5.73885,27.04194,220.27930
MEMORY_ACTIVE_ABSENT_STEPS_TH|10,20260705,0.02396,4.36898,15.00000,0.29412,0.41388,0.01725,2.22977,4.16667,0.11344,0.16667,0.54983,1.96147,1.69935,0.03555,0.23622,2.44985,7.09939,10.46552,2.83976,0.20819,6.02442,29.91945,176.87440
MEMORY_ACTIVE_ABSENT_STEPS_TH|10,20260707,0.01800,4.34749,13.15789,0.15385,0.54490,0.01326,2.22125,3.57143,0.09874,0.14286,0.54121,1.95723,1.79431,0.03573,0.23709,2.83502,9.09091,11.01765,2.39760,0.21625,6.18955,26.72508,194.69090
MEMORY_ACTIVE_ABSENT_STEPS_TH|10,20260706,0.01410,3.90930,10.00000,0.20000,0.54490,0.02350,2.11604,1.00000,0.05990,0.04000,0.53595,1.96497,1.22753,0.03528,0.23731,2.91336,10.19802,10.84000,2.27723,0.21734,6.38035,26.91892,208.83920
MEMORY_ACTIVE_ABSENT_STEPS_TH|10,20260709,0.00966,5.23543,36.58537,0.37500,0.47677,0.02544,2.21590,1.85185,0.11312,0.07407,0.54969,1.95849,1.28535,0.03377,0.22044,2.74104,9.29487,10.48276,1.70940,0.21950,6.41237,25.85837,212.59260
MEMORY_ACTIVE_ABSENT_STEPS_TH|10,20260708,0.01401,4.42854,16.66667,0.20000,0.00000,0.02149,2.12766,0.00000,0.09637,0.00000,0.54017,1.95795,1.94553,0.03715,0.23190,2.70465,8.96274,10.58101,2.21551,0.21812,6.32565,26.12420,221.67230
MEMORY_ACTIVE_ABSENT_STEPS_TH|12,20260705,0.02010,3.84563,15.47619,0.21429,0.94660,0.02106,2.30037,2.27273,0.11264,0.09091,0.55492,1.94524,0.81932,0.03219,0.21464,2.07651,6.13155,9.98870,0.55741,0.22469,5.46492,24.38765,208.68580
MEMORY_ACTIVE_ABSENT_STEPS_TH|12,20260707,0.01019,5.29348,35.71429,0.42857,0.06327,0.02136,2.12933,2.27273,0.09625,0.09091,0.55364,1.95721,0.70145,0.03193,0.23204,2.35464,7.53138,10.02874,0.83682,0.20121,4.94469,28.34741,174.23290
MEMORY_ACTIVE_ABSENT_STEPS_TH|12,20260706,0.01130,3.90615,12.50000,0.25000,1.06990,0.01978,2.09822,1.19048,0.04752,0.04762,0.54603,1.96093,0.60371,0.03092,0.23240,2.73634,10.53698,11.17964,0.50659,0.21121,5.76942,28.31661,207.12330
MEMORY_ACTIVE_ABSENT_STEPS_TH|12,20260708,0.01772,4.05123,24.00000,0.23077,0.00000,0.01985,2.19245,0.00000,0.06956,0.00000,0.55907,1.95566,0.80304,0.03226,0.22046,2.45193,8.57449,9.96133,0.42872,0.21408,5.37486,26.26932,217.29380
MEMORY_ACTIVE_ABSENT_STEPS_TH|12,20260709,0.01344,5.05254,13.79310,0.10000,1.05000,0.01854,2.06575,0.00000,0.05882,0.00000,0.55491,1.95982,1.00209,0.03285,0.21293,2.71585,9.90207,10.26374,0.54407,0.22637,5.80225,29.98976,221.98360
LANDMARK_DECAY_RATE|0.656,20260705,0.01864,6.34583,14.10256,0.15385,0.09490,0.01721,2.20404,2.77778,0.10718,0.11111,0.54398,1.95843,1.05448,0.03224,0.23327,2.18859,7.58197,10.66279,1.12705,0.21439,6.34116,27.87068,189.13130
LANDMARK_DECAY_RATE|0.656,20260709,0.01444,6.21238,40.00000,0.50000,0.30606,0.02118,2.18708,0.00000,0.08252,0.00000,0.56005,1.95352,1.20327,0.03289,0.21276,2.16976,7.01357,10.27647,1.24434,0.21613,5.83713,32.18263,161.91380
LANDMARK_DECAY_RATE|0.656,20260706,0.01829,4.26790,24.35897,0.38462,0.51000,0.01876,2.29466,1.25000,0.11297,0.05000,0.53927,1.97041,0.82609,0.03206,0.23142,2.68430,10.23303,10.58101,1.21581,0.21899,5.86749,30.83512,199.66360
LANDMARK_DECAY_RATE|0.656,20260707,0.01436,4.94073,16.66667,0.30000,0.65987,0.02203,2.18699,4.34783,0.07916,0.17391,0.53914,1.96054,0.79929,0.03213,0.23246,2.50411,8.75386,10.69006,1.64779,0.21642,5.97584,23.45133,201.92450
