label,seed,risk_mean,risk_relief,probe_rate,response_prob,response_delay_s,post_trigger_probe,workload,episode_length,retrieval_rate,probe_time_share,veh_time_share,total_steps,n_veh_onsets,n_lm_onsets,reached_goal,wall_s
baseline,20260705,0.11986,0.10708,7.58950,0.23077,0.06327,0.22222,3.06631,11.05780,2.13592,0.03764,0.01862,4190,13,18,True,156.1
baseline,20260706,0.11786,0.11342,9.56624,0.38462,0.51000,0.05000,3.03239,10.58101,1.21581,0.04974,0.01829,4265,13,20,True,157.2
SEEV_VALUE_SAFETY_WEIGHT|up,20260705,0.11937,0.10708,7.54491,0.23077,0.06327,0.22222,3.04519,10.97688,2.13592,0.03742,0.01868,4175,13,18,True,156.0
SEEV_VALUE_SAFETY_WEIGHT|up,20260706,0.11816,0.11342,9.56624,0.38462,0.51000,0.05000,3.03088,10.58101,1.21581,0.04974,0.01829,4265,13,20,True,157.6
SEEV_VALUE_SAFETY_WEIGHT|down,20260705,0.11921,0.10739,7.61337,0.23077,0.06327,0.22222,3.06661,11.05780,2.13592,0.03773,0.01862,4190,13,18,True,155.8
SEEV_VALUE_SAFETY_WEIGHT|down,20260706,0.11749,0.11342,9.56624,0.38462,0.51000,0.05000,3.03432,10.58101,1.21581,0.04974,0.01829,4265,13,20,True,157.8
PROBE_RELIEF_RATIO|up,20260705,0.12150,0.10416,8.22016,0.25000,1.32653,0.27778,3.08280,11.51205,1.42180,0.04089,0.01716,4197,12,18,True,156.3
PROBE_RELIEF_RATIO|up,20260706,0.10762,0.05448,6.74803,0.08333,0.00000,0.00000,2.89478,9.47514,1.62602,0.03445,0.01699,4179,12,27,True,154.9
PROBE_RELIEF_RATIO|down,20260705,0.11148,0.11574,10.10502,0.07692,0.18980,0.00000,2.85677,10.29609,0.94538,0.05527,0.01750,4285,13,21,True,155.8
PROBE_RELIEF_RATIO|down,20260706,0.12174,0.03278,10.53600,0.28571,0.99490,0.10000,3.02540,10.96552,1.54291,0.05718,0.00966,4347,7,20,True,157.6
