label,seed,stop_probe_per_100steps,veh_reaction_prob,veh_reaction_delay_s,iw_mean,iw_p95,iw_high_ratio,crossing_wait_s,ref_loss_episodes_per_100steps,deprivation_mean,obstacle_hits_per_100steps,total_sim_time_s,total_steps,diag_value_mean,diag_net_priority_mean,diag_gate_rate,diag_risk_mean,reached_goal,n_veh_onsets,wall_s
baseline,20260705,7.5012,0.2667,0.0949,3.1911,10.6059,0.1580,192.5268,4.2209,0.2840,0.2171,3431.9627,4146.0000,0.336859,0.061299,0.002894,0.107970,True,15,156.6
baseline,20260706,8.8305,0.2857,0.5250,3.1852,10.3291,0.1534,197.0496,4.0956,0.2765,0.0947,3469.4627,4224.0000,0.337592,0.062246,0.002131,0.105396,True,7,157.7
SEEV_VALUE_SAFETY_WEIGHT|up,20260705,7.5012,0.2667,0.0949,3.1911,10.6059,0.1580,192.5268,4.2209,0.2840,0.2171,3431.9627,4146.0000,0.346618,0.063591,0.003377,0.107970,True,15,157.0
SEEV_VALUE_SAFETY_WEIGHT|up,20260706,8.8305,0.2857,0.5250,3.1852,10.3291,0.1534,197.0496,4.0956,0.2765,0.0947,3469.4627,4224.0000,0.347162,0.064440,0.002841,0.105396,True,7,160.7
SEEV_VALUE_SAFETY_WEIGHT|down,20260705,7.5012,0.2667,0.0949,3.1911,10.6059,0.1580,192.5268,4.2209,0.2840,0.2171,3431.9627,4146.0000,0.327100,0.059008,0.001930,0.107970,True,15,156.5
SEEV_VALUE_SAFETY_WEIGHT|down,20260706,8.8305,0.2857,0.5250,3.1852,10.3291,0.1534,197.0496,4.0956,0.2765,0.0947,3469.4627,4224.0000,0.328021,0.060051,0.001894,0.105396,True,7,157.7
PROBE_RELIEF_RATIO|up,20260705,8.0000,0.3333,0.0474,3.2106,10.6059,0.1628,216.1037,3.9763,0.2841,0.2130,3466.0127,4225.0000,0.336680,0.060753,0.001420,0.108996,True,12,158.5
PROBE_RELIEF_RATIO|up,20260706,8.5000,0.2500,1.0898,3.2072,10.5600,0.1590,197.9098,4.0714,0.2792,0.1667,3460.3627,4200.0000,0.341276,0.063787,0.001190,0.107543,True,8,157.4
PROBE_RELIEF_RATIO|down,20260705,10.1517,0.0769,0.1898,3.0303,10.6059,0.1459,199.5330,4.1774,0.2674,0.1400,3474.4127,4285.0000,0.341199,0.063217,0.001167,0.101183,True,13,158.1
PROBE_RELIEF_RATIO|down,20260706,10.5130,0.2857,0.9949,3.1977,10.3291,0.1739,216.7837,4.0028,0.2789,0.1380,3506.7127,4347.0000,0.335963,0.061016,0.001380,0.111890,True,7,162.0
