label,seed,veh_share,veh_iw_mean,veh_stop_rate,veh_reaction_prob,veh_reaction_delay_s,lm_share,lm_iw_mean,lm_stop_rate,lm_relief_effect,lm_stop_after_rate,tac_share,tac_iw_mean,tac_stop_rate,tac_risk_mean,noref_share,noref_iw_mean,noref_stop_rate,noref_ep_len,noref_retrieval_per100,cross_share,cross_iw_mean,cross_stop_rate,cross_wait_s
memth|0.03,20260708,0.014564831261101243,7.761987804878048,54.87804878048781,0.9285714285714286,0.5360307692307804,0.02202486678507993,7.56995,33.064516129032256,0.06378709677419354,0.967741935483871,0.5579040852575489,7.560328366762177,33.2378223495702,0.22888745622413245,0.2374777975133215,3.990200972326103,24.457741211667912,10.008849557522124,1.0471204188481675,0.16714031971580817,6.1597339001062705,45.58979808714134,182.19230000000007
memth|0.03,20260705,0.011804686102664998,7.474760606060606,51.515151515151516,0.9166666666666666,0.5389636363636069,0.02432480772670363,7.9628625,27.205882352941174,0.06621838235294117,0.8529411764705882,0.581112502235736,7.546655801785165,33.17943982763927,0.23050458602646967,0.2117689143265963,4.26200777027027,26.26689189189189,8.695833333333333,1.097972972972973,0.16920050080486496,6.602380126849894,34.46088794926004,208.80069999999978
memth|0.04,20260709,0.006125022518465141,7.2104558823529405,23.52941176470588,0.8333333333333334,0.7398000000000706,0.01873536299765808,7.696585576923076,29.807692307692307,0.05290000000000001,0.8461538461538461,0.5692667987749955,7.520066835443037,33.322784810126585,0.22781091772151896,0.23004863988470545,3.5359909162098666,23.88410336726703,9.318777292576419,1.331245105716523,0.15852999459556838,5.901422954545454,42.27272727272727,174.70189999999803
memth|0.03,20260706,0.011627906976744186,8.732581818181819,48.484848484848484,0.9090909090909091,0.3938800000001038,0.017618040873854827,7.383341000000001,38.0,0.061614,1.0,0.5667723749119098,7.567812713708424,33.07429281939696,0.22875548647808516,0.23696264975334744,4.15537747211896,25.799256505576206,9.601731601731602,0.7434944237918215,0.1576814658210007,6.251357988826816,48.26815642458101,179.14640000000057
memth|0.04,20260707,0.014941302027748132,7.745641666666667,46.42857142857143,0.6428571428571429,0.3077111111110816,0.022767698327997153,7.5616828125,32.8125,0.07959375,0.96875,0.5688367129135539,7.535492714196373,33.14571607254534,0.22990015634771732,0.22109569548203487,3.6886117457763477,25.583266291230895,9.17094017094017,1.2067578439259854,0.16417644966204198,6.610066088840737,37.81148429035753,203.3061999999982
memth|0.04,20260706,0.01719298245614035,6.711867346938776,42.857142857142854,0.8235294117647058,0.5127571428571238,0.016842105263157894,7.830969791666667,29.166666666666668,0.13704895833333333,0.9166666666666666,0.5585964912280702,7.544927858040201,32.94597989949749,0.22845577889447236,0.23421052631578948,3.821207715355805,26.89138576779026,10.32882882882883,1.348314606741573,0.1707017543859649,6.972026207605344,35.04624871531347,235.10199999999858
memth|0.03,20260709,0.015811665495432184,9.007076666666666,42.22222222222222,0.6666666666666666,0.3559199999999464,0.022487702037947997,7.69851328125,29.6875,0.10732890625,0.9375,0.5621925509486999,7.56238271875,33.4375,0.23072140624999998,0.22610681658468026,4.215282828282828,26.65112665112665,9.767543859649123,0.777000777000777,0.16707659873506675,6.98082818086225,35.33123028391167,225.9639999999975
memth|0.04,20260705,0.020946063885494852,6.801205833333333,38.333333333333336,0.9047619047619048,0.6424842105263039,0.018851457496945365,7.544818518518519,30.555555555555557,0.08479907407407408,0.9629629629629629,0.5720020946063885,7.546272902044554,33.01800427220019,0.22870677448886176,0.22255192878338279,3.9592301176470586,28.3921568627451,9.119341563786008,1.019607843137255,0.1661721068249258,6.602795168067226,37.81512605042017,223.36179999999905
memth|0.04,20260708,0.017145918914091802,6.917105208333333,39.58333333333333,0.8125,0.635246153846201,0.01928915877835328,7.915322222222222,35.18518518518518,0.09203333333333331,0.8518518518518519,0.566172530809073,7.546593470031546,32.87066246056782,0.22823220820189272,0.23414895517056616,3.5274250953470636,24.86651411136537,9.263829787234043,1.5255530129672006,0.16199321307376316,6.34361190738699,40.79382579933848,192.1745999999997
memth|0.03,20260707,0.011477761836441894,8.481121875,54.6875,0.9090909090909091,0.6038800000000663,0.018651362984218076,7.8841663461538465,27.884615384615387,0.09189423076923077,0.8461538461538461,0.569583931133429,7.5616052267002525,33.15491183879094,0.2305067065491184,0.2309899569583931,3.962780745341615,24.456521739130434,9.323144104803493,0.6987577639751553,0.15889526542324248,6.5521857787810385,36.794582392776526,200.69940000000074
